ElapsedTime,Text,Tindoor,Tdepart,Tretour,Debit_eau,Conso_energetique_integrale
1047600,-0.094,21.757,318.773,314.245,0.200,224.210
1051200,0.087,21.741,318.695,314.187,0.200,225.622
1054800,0.004,21.717,318.595,314.092,0.200,227.020
1058400,-0.521,21.688,318.755,314.171,0.200,228.443
1062000,-0.723,21.677,319.032,314.388,0.200,229.910
1065600,-0.675,21.673,319.117,314.474,0.200,231.722
1069200,0.042,21.714,318.980,314.429,0.200,233.268
1072800,1.305,21.926,315.281,313.644,0.162,234.971
1076400,1.635,21.801,310.655,310.655,0.125,235.209
1080000,2.279,21.029,300.711,300.711,0.125,235.209
1083600,2.743,20.474,296.913,296.913,0.125,235.209
1087200,2.920,20.045,298.681,295.325,0.175,235.280
1090800,2.817,20.156,304.179,297.757,0.200,235.529
1094400,1.312,21.572,316.958,312.818,0.200,237.780
1098000,0.608,21.728,317.390,313.047,0.200,238.585
1101600,0.160,21.829,317.938,313.519,0.200,239.624
1105200,-0.240,21.907,318.412,313.930,0.200,241.005
1108800,-0.640,21.947,318.781,314.235,0.200,242.426
1112400,-1.202,21.965,319.126,314.501,0.200,243.888
1116000,-1.515,21.979,319.550,314.841,0.200,245.409
1119600,-1.506,21.992,319.683,314.976,0.200,246.942
1123200,-1.936,21.984,319.838,315.077,0.200,248.492
1126800,-2.390,21.974,320.165,315.314,0.200,250.092
1130400,-2.336,21.976,320.366,315.499,0.200,251.720
1134000,-2.337,21.968,320.369,315.510,0.200,253.344
1137600,-2.384,21.953,320.444,315.562,0.200,254.979
1141200,-2.495,21.935,320.447,315.560,0.200,256.614
1144800,-2.641,21.916,320.570,315.644,0.200,258.271
1148400,-2.688,21.900,320.627,315.690,0.200,259.935
1152000,-2.657,21.882,320.684,315.735,0.200,261.921
1155600,-1.330,21.938,317.661,315.247,0.170,264.110
1159200,-0.701,21.806,313.172,313.172,0.125,264.505
1162800,0.860,20.932,301.361,301.361,0.125,264.505
1166400,2.671,20.276,296.383,296.383,0.125,264.505
1170000,3.336,20.044,298.868,295.479,0.175,264.575
1173600,3.414,20.426,309.070,302.571,0.200,265.079
1177200,2.638,21.871,313.937,311.960,0.170,267.014
1180800,0.917,21.255,303.652,303.652,0.125,267.277
1184400,-0.149,20.692,299.318,299.318,0.125,267.277
1188000,-1.490,19.965,301.205,297.617,0.175,267.435
1191600,-1.326,20.438,315.196,308.871,0.200,268.540
1195200,-1.240,21.263,319.396,314.590,0.200,270.281
1198800,-1.640,21.567,319.645,314.825,0.200,271.845
1202400,-2.070,21.718,319.914,315.063,0.200,273.431
1206000,-2.860,21.802,320.338,315.388,0.200,275.327
1209600,-3.421,21.840,320.758,315.712,0.200,276.755
1213200,-3.062,21.893,321.077,316.033,0.200,278.578
1216800,-2.837,21.912,320.819,315.859,0.200,280.668
1220400,-3.594,21.891,320.907,315.864,0.200,281.885
1224000,-4.167,21.883,321.436,316.256,0.200,283.677
1227600,-3.779,21.900,321.585,316.434,0.200,285.489
1231200,-3.824,21.891,321.451,316.334,0.200,287.269
1234800,-3.855,21.876,321.615,316.445,0.200,289.081
1238400,-3.753,21.859,321.473,316.338,0.200,291.209
1242000,-2.977,21.889,321.337,316.290,0.200,293.015
1245600,-1.965,21.963,317.455,315.625,0.163,294.370
1249200,-0.896,21.054,303.221,303.221,0.125,294.377
1252800,0.297,20.085,298.127,296.334,0.163,294.404
1256400,0.586,20.007,301.485,297.406,0.200,294.562
1260000,1.020,21.259,318.743,313.110,0.200,296.217
1263600,0.921,21.957,314.933,313.323,0.162,297.740
1267200,-0.836,20.776,300.512,300.512,0.125,297.804
1270800,-2.694,19.993,302.315,298.499,0.181,298.009
1274400,-3.051,20.022,309.294,303.044,0.200,298.482
1278000,-3.385,20.958,320.898,314.814,0.200,300.431
1281600,-3.793,21.416,321.124,315.906,0.200,302.243
1285200,-4.040,21.625,321.472,316.238,0.200,304.066
1288800,-4.225,21.736,321.634,316.403,0.200,305.895
1292400,-4.696,21.787,321.877,316.588,0.200,307.755
1296000,-5.021,21.816,322.183,316.830,0.200,309.661
1299600,-5.236,21.834,322.360,316.984,0.200,311.592
1303200,-4.705,21.855,322.533,317.157,0.200,313.550
1306800,-4.331,21.853,322.021,316.791,0.200,315.411
1310400,-4.650,21.823,322.118,316.812,0.200,317.296
1314000,-4.996,21.800,322.165,316.829,0.200,319.192
1317600,-5.541,21.778,322.482,317.045,0.200,321.143
1321200,-5.640,21.773,322.729,317.255,0.200,323.138
1324800,-5.640,21.763,322.836,317.351,0.200,325.687
1328400,-4.913,21.785,322.807,317.371,0.200,327.148
1332000,-3.228,21.892,321.844,316.731,0.200,329.554
1335600,-2.108,21.949,317.650,315.796,0.163,331.271
1339200,-1.130,20.985,304.312,304.312,0.125,331.438
1342800,0.033,20.005,302.580,298.913,0.175,331.591
1346400,0.757,20.534,315.029,309.308,0.200,332.809
1350000,1.188,21.097,318.263,313.968,0.200,333.831
1353600,-0.225,21.485,318.267,313.715,0.200,335.589
1357200,-1.520,21.551,318.891,314.155,0.200,336.854
1360800,-2.505,21.582,319.693,314.770,0.200,338.191
1364400,-2.994,21.642,320.490,315.460,0.200,340.327
1368000,-2.728,21.676,320.748,315.715,0.200,341.565
1371600,-2.970,21.685,320.615,315.620,0.200,343.268
1375200,-3.688,21.672,321.051,315.913,0.200,344.982
1378800,-4.042,21.674,321.380,316.178,0.200,346.777
1382400,-4.097,21.679,321.651,316.406,0.200,348.615
1386000,-4.290,21.673,321.672,316.428,0.200,350.447
1389600,-4.738,21.657,321.964,316.629,0.200,352.328
1393200,-5.043,21.647,322.186,316.801,0.200,354.244
1396800,-5.174,21.639,322.425,316.990,0.200,356.199
1400400,-5.371,21.627,322.503,317.051,0.200,358.162
1404000,-5.959,21.604,322.758,317.216,0.200,360.169
1407600,-6.296,21.591,323.109,317.484,0.200,362.239
1411200,-6.214,21.586,323.281,317.642,0.200,364.894
1414800,-4.015,21.652,322.690,317.342,0.200,367.228
1418400,-2.657,21.705,322.061,316.933,0.200,368.310
1422000,-1.178,21.800,320.654,315.878,0.200,369.944
1425600,0.008,21.866,319.793,315.190,0.200,371.480
1429200,1.161,21.930,318.571,314.244,0.200,372.990
1432800,1.610,21.895,317.954,313.721,0.200,374.148
1436400,1.993,21.835,317.453,313.297,0.200,375.389
1440000,1.703,21.740,317.260,313.062,0.200,377.163
1443600,1.574,21.706,317.298,313.071,0.200,377.877
1447200,1.877,21.677,317.336,313.119,0.200,379.099
1450800,2.066,21.652,317.102,312.938,0.200,380.314
1454400,1.890,21.622,317.096,312.903,0.200,381.534
1458000,2.150,21.612,317.113,312.931,0.200,382.760
1461600,2.510,21.603,316.855,312.749,0.200,383.950
1465200,2.610,21.584,316.694,312.608,0.200,385.122
1468800,2.510,21.564,316.603,312.517,0.200,386.286
1472400,2.552,21.554,316.680,312.573,0.200,387.465
1476000,2.904,21.547,316.480,312.434,0.200,389.136
1479600,3.046,21.542,316.407,312.380,0.200,389.767
1483200,3.110,21.529,316.236,312.234,0.200,390.888
1486800,3.005,21.513,316.216,312.199,0.200,392.068
1490400,2.972,21.503,316.262,312.232,0.200,393.579
1494000,3.032,21.499,316.226,312.211,0.200,394.779
1497600,2.802,21.489,316.238,312.195,0.200,395.654
1501200,2.596,21.484,316.399,312.309,0.200,396.545
1504800,3.015,21.510,316.398,312.362,0.200,398.161
1508400,3.215,21.522,316.288,312.289,0.200,398.836
1512000,3.550,21.533,316.009,312.073,0.200,400.315
1515600,3.848,21.542,315.868,311.975,0.200,401.022
1519200,4.329,21.561,315.500,311.707,0.200,402.058
1522800,4.545,21.554,315.204,311.461,0.200,403.062
1526400,4.227,21.534,315.081,311.319,0.200,404.054
1530000,4.086,21.522,315.339,311.510,0.200,405.173
1533600,3.960,21.510,315.337,311.503,0.200,406.110
1537200,3.560,21.496,315.530,311.629,0.200,407.161
1540800,3.159,21.493,315.873,311.896,0.200,408.741
1544400,2.925,21.491,315.981,311.974,0.200,409.346
1548000,2.280,21.487,316.390,312.268,0.200,410.498
1551600,1.999,21.497,316.779,312.588,0.200,411.698
1555200,1.792,21.506,316.991,312.770,0.200,412.919
1558800,1.152,21.501,317.287,312.974,0.200,414.174
1562400,0.743,21.506,317.752,313.336,0.200,415.492
1566000,0.495,21.513,317.964,313.520,0.200,416.831
1569600,0.268,21.516,318.250,313.747,0.200,418.207
1573200,0.109,21.517,318.381,313.857,0.200,419.596
